details,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,20
see,0-> 1-> 2-> 3-> 4-> 5-> 6-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,20
section,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12,10
below.,0-> 1-> 2-> 3-> 4-> 7-> 8-> 9,8
installed,0-> 1-> 2-> 3-> 4-> 7-> 8-> 9,8
software,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12,10
ms,0-> 2-> 4-> 5-> 8-> 12,6
office,0-> 2-> 4-> 5-> 8-> 12,6
home,0-> 2-> 4-> 5-> 8-> 12-> 13-> 14-> 15-> 18,10
student,0-> 2-> 4-> 5-> 8-> 12,6
2016,0-> 2-> 4-> 5-> 8-> 12,6
in,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12-> 16-> 19,12
the,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12-> 15-> 16-> 18,13
box,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12,10
included,0-> 1-> 2-> 3-> 4-> 7-> 8-> 9,8
charger,0-> 1-> 2-> 3-> 4-> 7-> 8-> 9,8
ports,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12-> 16,11
cd,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12,10
drive,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 17-> 18-> 19-> 20,19
3,0-> 2-> 19,3
usb,0-> 1-> 2-> 3-> 4-> 5-> 7-> 8-> 9-> 12-> 16-> 19,12
3.1,0-> 2-> 19,3
hdmi,0-> 1-> 2-> 3-> 4-> 5-> 7-> 16-> 19,9
sd,0-> 1-> 2-> 3-> 19,5
card,0-> 1-> 2-> 3-> 16-> 19,6
reader,0-> 1-> 2-> 3-> 16-> 19,6
audio,0-> 2-> 4-> 5-> 7,5
out,0-> 2-> 4-> 5-> 7,5
without,0-> 2,2
›,0-> 2-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 19-> 20,16
product,0-> 2-> 5-> 6-> 8-> 9-> 10-> 11-> 12-> 13-> 14-> 15-> 16-> 17-> 18-> 19-> 20,17
7th,1-> 3-> 9-> 10-> 13-> 16-> 18,7
gen,1-> 3-> 4-> 5-> 8-> 9-> 10-> 12-> 13-> 15-> 16-> 18-> 19,13
