Company, CPU company, CPU model, touchscreen, Link
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-Quad-Core-A12-9700P-Bluetooth/dp/B07JPZPTLR
Dell,amd,None,No,https://www.amazon.in/Dell-Inspiron-Quad-Core-A12-9700P-Bluetooth/dp/B07JPB4BCL
Mi,intel,i7,No,https://www.amazon.in/Dell-Inspiron-Dual-Core-Bluetooth-MaxxAudio/dp/B07JNMT8TR
Dell,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Inspiron-7373-Integrated/dp/B07J2L9WJ5
Mi,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Dell-Inspiron-15-6-inch/dp/B07J2L4X5Y
Dell,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Dell-Inspiron-15/dp/B07J2JW69D
crosoft,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Inspiron-15-6-inch-Pre-Installed/dp/B07J2JV7N5
Mi,intel,Pentium,No,https://www.amazon.in/Dell-Inspiron-Pentium-MaxxAudio-Bluetooth/dp/B07HL4VVYY
Mi,intel,Pentium,No,https://www.amazon.in/Dell-Inspiron-Pentium-MaxxAudio-Bluetooth/dp/B07HL2Q1W8
Mi,intel,Pentium,No,https://www.amazon.in/Dell-Inspiron-Pentium-MaxxAudio-Bluetooth/dp/B07HL2HYD1
Intel,intel,i7,No,https://www.amazon.in/Dell-Inspiron-MaxxAudio-Bluetooth-Professional/dp/B07HKYJ6HJ
Mi,intel,Pentium,No,https://www.amazon.in/Dell-Inspiron-Pentium-MaxxAudio-Bluetooth/dp/B07HKXTRP6
Mi,intel,Pentium,No,https://www.amazon.in/Dell-Inspiron-Pentium-MaxxAudio-Bluetooth/dp/B07HKW2PCK
Intel,intel,i7,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-Laptop-Intel-MaxxAudioR-4GB/dp/B07HK71TDL
Mi,intel,Pentium,No,https://www.amazon.in/Dell-Inspiron-Quad-Core-Bluetooth-802-11bgn/dp/B07HHX7QR9
Mi,intel,Pentium,No,https://www.amazon.in/Dell-Inspiron-Quad-Core-Bluetooth-802-11bgn/dp/B07HHTX3TQ
Dell,amd,None,yes,https://www.amazon.in/Dell-Inspiron-Flagship-Touchscreen-Quad-Core/dp/B07HHT4H81
Mi,intel,i5,No,https://www.amazon.in/Dell-Performance-Wireless-AC-Bluetooth-MaxxAudio/dp/B07H9V88KT
Intel,intel,i5,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-Generation-i5-8250U/dp/B07H9RY2QP
Intel,intel,i7,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-i7-7500U-Bluetooth/dp/B07H8N244F
Dell,amd,None,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-MaxxAudio-Bluetooth/dp/B07H8N17WQ
Intel,intel,i7,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-i7-7500U-Bluetooth/dp/B07H8MSRP4
Intel,intel,i7,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-i7-7500U-Bluetooth/dp/B07H8MKZ1S
Dell,amd,None,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-Keyboard-Bluetooth/dp/B07H8M5Z82
Mi,amd,None,yes,https://www.amazon.in/Dell-Inspiron-Touchscreen-Business-Bluetooth/dp/B07H8DFTQ3
Dell,amd,None,yes,https://www.amazon.in/Dell-Inspiron-Convertible-Touchscreen-Integrated/dp/B07GDZPPYS
Mi,intel,i5,yes,https://www.amazon.in/Dell-Inspiron-Performance-Touchscreen-customize/dp/B07GBR98ZT
